user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,носки,https://veter.cc,Носки · Фильтры · Носки Беговые Performance Black · Носки Беговые Performance White · Носки Мерино Grey. Носки. Доступные размеры. 35-38; 39-42; 43-46. 2990₽.,google,['support@veter.cc'],[],30-08-2025 11:57:00
1,носки,https://alpindustria.ru,"Более 100 моделей носков для активного отдыха, в которых будет гарантировано тепло и сухо во время любых нагрузок в любых погодных условиях.",google,['sale@alpindustria.ru'],"['+74956455773', '+78007751630']",30-08-2025 11:57:00
1,носки,https://www.34play.me,Наш телеграм канал @trailhead_official. Будем рады подписке! ВХОД; РЕГИСТРАЦИЯ. Санкт-Петербург. Мужчины. Одежда · Куртки · Толстовки · Брюки · Свитшоты ...,google,['shop@34play.me'],['+78005337734'],30-08-2025 11:57:00
1,носки,https://tjcollection.ru,Черные короткие носки анатомической формы. SD 7121535 BLK. 1390 ₽. В корзину. Серые короткие носки анатомической формы. SD 7121535 LGR. 1190 ₽. В корзину.,google,"['pressa@tjcollection.ru', 'shop@tjcollection.ru']","['+74996497987', '+78005111252', '+79266706776']",30-08-2025 11:57:00
1,носки,https://shuclothes.com,Специальное предложение в виде скидки 20% действует на пять пар коротких или обычных носков. Цена изменяется автоматически при добавлении товаров в корзину.,google,"['order@shuclothes.ru', 'pr@shuclothes.ru', 'service@shuclothes.ru', 'wholesale@shuclothes.ru']",['+78006003906'],30-08-2025 11:57:00
1,носки,https://putin-team.ru,Купить спортивные носки для мужчин премиум-качества марки PUTIN TEAM с доставкой по всей России. Закажи по телефону 8 (800) 101-41-85 и на сайте.,google,"['info@putin-team.com', 'info@putin-team.ru']","['+73019518935', '+73817160446', '+73889103008', '+74012994146', '+74116105354', '+78001014185']",30-08-2025 11:57:00
1,носки,https://toptop.ru,Носки. Купить актуальные коллекции с бесплатной доставкой по всей России!,google,"['feedback@toptop.ru', 'hello@toptop.ru', 'marketing@toptop.ru', 'opt@toptop.ru', 'vozvrat@toptop.ru']",['+74954454594'],30-08-2025 11:57:00
1,носки,https://wolford.ru,"Наши носки и гольфы выполнены с использованием только высококачественных материалов, таких как натуральный шелк, кружево и микрофибра, что обеспечивает ...",google,['zakaz@jamilco.ru'],"['+78007700593', '+79999999999']",30-08-2025 11:57:00
1,носки,https://anta-sport.ru,"В спортивном магазине Anta представлен широкий ассортимент товаров — Носки мужские Anta, по доступной цене. Магазин Анта регулярно проводим распродажи и ...",google,['shop@anta-sport.ru'],"['+74991131888', '+78007073660']",30-08-2025 11:57:00
1,носки,https://bchk.by,В данном разделе представлены Носки производства ОАО «Брестский чулочный комбинат». Купить Носки вы можете в официальных магазинах торговой сети.,google,"['norp.brest@bchk.by', 'norp.minsk@bchk.by']","['+37378891222', '+375162517198', '+375162537384', '+375162597889', '+375293740513', '+375293932393', '+375445355558', '+375445460508', '+375447673968', '+40765542711', '+40785588470', '+48500503636', '+74952803354', '+78126129958', '+79037930939']",30-08-2025 11:57:00
1,носки,https://everneat.ru,Где купить оптом от производителя хорошие Носки мужские Эвернит во Владивостоке? Хорошие Носки мужские выбрать и купить оптом по оптовым ценам от ...,google,['everneat@everneat.ru'],"['+74232025253', '+79024888070']",30-08-2025 11:57:00
1,носки,https://markformelle.ru,Женские носки и колготки в каталоге интернет-магазина Mark Formelle ✓ Доставка по России и Москве ✓ Большой выбор в наличии ✓ Отличные цены ✓ Скидки и ...,google,['shop@markformelle.by'],"['+74822509106', '+78000050035', '+78007075638']",30-08-2025 11:57:00
1,носки,https://rodinastore.ru,Бесплатная доставка от 10000 ₽. Доступна оплата при получении для заказов от 1500 ₽. Мужское · Аксессуары · Кепки и панамы · Косметика · Носки · Очки · Рюкзаки ...,google,"['hello@rodinastore.ru', 'support@rodinastore.ru']","['+73943306537', '+79101200135', '+79103990670', '+79576966630', '+79737086781']",30-08-2025 11:57:00
1,носки,https://kinash.ru,"Купить спортивные носки Вы можете в магазине «Кинаш Спорт». Широкий ассортимент 100% оригинальных товаров, лучшие цены и скидки на носки для занятий спортом ...",google,['info@kinash.ru'],"['+74951202911', '+78005507429', '+78123177529']",30-08-2025 11:57:00
1,носки,https://www.ecco.ru,Детские носки — купить в интернет-магазине брендовой обуви ECCO по выгодной цене. Более 35 модных моделей в каталоге. Доставка по Москве и всей России.,google,['info@ecco.ru'],['+78004442525'],30-08-2025 11:57:00
1,носки,https://sportmaster.kz,Покупайте товары для спорта и активного отдыха в интернет-магазине Sportmaster. ⭐ Мужские носки по доступной цене. Доставка по Казахстану. ✔️ Скидки и ...,google,['support@sportmaster.kz'],['+78000803333'],30-08-2025 11:57:00
