user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://cko.by,"Рекомендуем посетить страничку МАГАЗИНА, который для Вашего удобства также является выставочным залом всех образцов продукции, где Вы всегда можете купить ...",google,"['info@cko.by', 'shop@cko.by']","['+375172840067', '+375172949493', '+375173770593', '+375445840067']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://forintex.by,"Собственное производство спецодежды, продажа оптом и в розницу ✓ Бесплатная доставка по всей Беларуси ✓ Cклад и офис в одном месте!",google,"['manager@forintex.by', 'sales@forintex.by', 'supply@forintex.by', 'textile@forintex.by']","['+375173668860', '+375292393007', '+375296863007']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://specovka.by,Пошив спецодежды на заказ в Беларуси в компании «М-Текстиль». ✓ Большой ассортимент ✓ Высокое качество ✓ Демократичные цены.,google,"['brest@specovka.by', 'gomel@specovka.by', 'grodno@specovka.by', 'info@specovka.by', 'mogilev@specovka.by', 'vitebsk@specovka.by']","['+375173204140', '+375291261201', '+375295662436', '+375296323501', '+375296630303', '+375296937001', '+375297859914', '+375447242959', '+375447362959']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://specodejda-minsk.by,"«Эксперт Спецодежда» - производитель и поставщик спецодежды, рабочей обуви и средств индивидуальной защиты. Уже более 15 лет является одной из ведущих ...",google,['veatexbel@gmail.com'],"['+375292004471', '+375295637395', '+375296111989', '+375296984777']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://stetskevich.by,Цены указанные на сайте носят ознакомительный характер и не являются публичной офертой. Наши контакты +375 44 721 39 89.,google,"['gomel@stetskevich.by', 'info@sgc.by', 'info@stetskevich.by']","['+375173756488', '+375296564464', '+375296619190', '+375298447877', '+375447213989', '+73889404032']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://beztruda.by,"ООО «Безопасность труда» - любая спецодежда, форменная и рабочая одежда, спецобувь и СИЗ для вашего бизнеса. Продажа спецодежды, спецобуви и СИЗ по лучшим ...",google,"['baranovichi@beztruda.by', 'bobruisk@beztruda.by', 'borisov@beztruda.by', 'brest@beztruda.by', 'gomel@beztruda.by', 'grodno@beztruda.by', 'lida@beztruda.by', 'minsk@beztruda.by', 'mogilev@beztruda.by', 'molodechno@beztruda.by', 'mozyr@beztruda.by', 'orsha@beztruda.by', 'pinsk@beztruda.by', 'polotsk@beztruda.by', 'vitebsk@beztruda.by', 'zhdanovichi@beztruda.by']","['+375152624604', '+375154609550', '+375162593908', '+375162593909', '+375163677577', '+375163680880', '+375165661706', '+375172212384', '+375172212392', '+375173545145', '+375176533618', '+375176557836', '+375177789054', '+375177789059', '+375212481044', '+375214464766', '+375214465528', '+375216510662', '+375222701919', '+375222702828', '+375225722024', '+375225728254', '+375232206038', '+375232332277', '+375236200555', '+375236210555', '+375291856451', '+375291856477', '+375293041728', '+375293359700', '+375293445720', '+375293459845', '+375293563240', '+375293634389', '+375293904980', '+375293981192', '+375296181435', '+375443981192', '+375445138861', '+375445190555', '+375445367625', '+375445923310', '+375445923320', '+375445959598', '+375447070569', '+375447214128', '+375447807520', '+375447807540']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://f-rb.by,"Летняя спецодежда купить недорого в Минске · спецодежда жилет летний рабочий цвет темно-синий за 47,6 byn (в наличии размеры от 44-го до 62-го); · костюм ...",google,['info@f-rb.by'],"['+375172707312', '+375447281291']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://vostok.by,Компания Восток-Сервис предлагает купить спецодежду и рабочую обувь оптом и в розницу на выгодных условиях в Беларуси. Выгодные условия для постоянных ...,google,"['bobruysk@vostok.by', 'borisov@vostok.by', 'brest@vostok.by', 'gomel@vostok.by', 'grodno@vostok.by', 'lida@vostok.by', 'marketing@vostok.by', 'mogilev@vostok.by', 'novogrudok@vostok.by', 'pinsk@vostok.by', 'polotsk@vostok.by', 'td1@vostok.by', 'td2@vostok.by', 'td3@vostok.by', 'vitebsk@vostok.by', 'zayavka@vostok.by']","['+375152609434', '+375152680053', '+375154617975', '+375154617976', '+375159749977', '+375162298139', '+375162298536', '+375162298572', '+375165611100', '+375165611110', '+375172584238', '+375172918073', '+375173229061', '+375173230928', '+375173360801', '+375173360802', '+375173360803', '+375173360808', '+375173360809', '+375173360810', '+375173360812', '+375173360826', '+375173360835', '+375173423023', '+375177796791', '+375177797249', '+375212370001', '+375212370002', '+375214433565', '+375214433753', '+375222747482', '+375222794782', '+375222795219', '+375225721505', '+375232798250', '+375232798251', '+375232798252', '+375291371498', '+375293274664', '+375293596782', '+375293599297', '+375293608456', '+375293611107', '+375293612305', '+375293612921', '+375293787654', '+375293792065', '+375293934137', '+375293934514', '+375293979461', '+375293979480', '+375297023046', '+375297232446', '+375297234972', '+375336282763', '+375336282839', '+375336282851', '+375336282897', '+375336283098', '+375336283144', '+375336283175', '+375336283182', '+375336283197', '+375336283249', '+375445318839', '+375445436396', '+375447075747', '+375447124088', '+375447387724', '+375447455886', '+375447653646']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://hozyaystvennoff.by,Сделано в Беларуси. Рабочая одежда и спецобувь белорусского производства. Найдено товаров: Показать Сбросить. Цена (р.) ... Тип изделия. Костюм. Куртка.,google,"['hoz-off2015@mail.ru', 'hozyaystvennoff@tut.by']","['+375175173449', '+375175173450', '+375291821780', '+375293786084']",24-09-2025 10:00:26
3,спецодежда купить от производителя -site:wildberries.ru -site:ozon.ru -site:kufar.by -site:21vek.by -site:5element.by -site:masterdom.by -site:officeton.by -site:irecommend.ru -site:777555.by -site:druk-s.by -site:dzen.ru -site:factories.by -site:equipnet.ru -site:sitmag.ru -site:rutube.ru -site:openbusiness.ru,by,https://www.biteh.by,"Хотите купить спецодежду, спецобувь и средства защиты в Минске? ➤ Заходите в интернет-магазине ОДО БИТЕХ. ✓ Заказ онлайн, быстро и качественно. ☎ Звоните!",google,['office@biteh.by'],"['+375172170243', '+375172175053', '+375172702745', '+375172702748', '+375173961963', '+375293715053', '+375333765053', '+375445715053']",24-09-2025 10:00:26
